whichSurpriseBlock,instructsurpA1,instructsurpA2,newKey,taskTextSource,surpriseFaces,new,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,task_block_loop.thisRepN,task_block_loop.thisTrialN,task_block_loop.thisN,task_block_loop.thisIndex,surprise_block_loop.thisRepN,surprise_block_loop.thisTrialN,surprise_block_loop.thisN,surprise_block_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fix.started,fix.stopped,errorNumbers_text_2.started,errorNumbers_text_2.stopped,textbox_2.text,textbox_2.started,textbox_2.stopped,errorN_key_resp_2.keys,errorN_key_resp_2.rt,errorN_key_resp_2.started,errorN_key_resp_2.stopped,botherRate_text.started,botherRate_text.stopped,textbox_3.text,textbox_3.started,textbox_3.stopped,botherRate_key_resp.keys,botherRate_key_resp.rt,botherRate_key_resp.started,botherRate_key_resp.stopped,instruct_surprise1.started,instruct_surprise1.stopped,instruct_surp1_key_resp.keys,instruct_surp1_key_resp.rt,instructMainTask_text.started,instructMainTask_text.stopped,instructMainTask_keyResp.keys,instructMainTask_keyResp.rt,instructMainTask_keyResp.started,instructMainTask_keyResp.stopped,stimulus.started,stimulus.stopped,instructsurpA1_right.started,instructsurpA1_right.stopped,instructsurpA2_left.started,instructsurpA2_left.stopped,surprise_key_resp.keys,surprise_key_resp.rt,surprise_key_resp.started,surprise_key_resp.stopped,id,cb,friendly,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,16.47976430000017,None,16.979718000000503,None, ,16.979718000000503,None,space,0.8351081999999224,16.979718000000503,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,A,2022-08-11_02h24.05.156,face_flanker_v1,2022.1.4,60.03936180531726,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8467440000004,None,,17.8467440000004,None,space,0.37363859999913984,17.8467440000004,None,,,,,,,,,,,,,,,,,,,,,,A,A,2022-08-11_02h24.05.156,face_flanker_v1,2022.1.4,60.03936180531726,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.246813400000065,None,8,0.9289770999994289,,,,,,,,,,,,,,,,,,A,A,2022-08-11_02h24.05.156,face_flanker_v1,2022.1.4,60.03936180531726,
a_halfV_surpriseTable1.csv,OLD - Right Key,NEW - Left Key,left,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-WF-244-163-N.jpg,1,,,,,,,,,0,0,0,0,0,0,0,62,,,,,,,,,,,,,,,,,,,,,,,,,19.21945230000074,None,8,0.4588010999996186,19.21945230000074,None,19.864121500000692,None,19.864121500000692,None,19.864121500000692,None,8,2.0405660999995234,19.864121500000692,None,,A,A,2022-08-11_02h24.05.156,face_flanker_v1,2022.1.4,60.03936180531726,
a_halfV_surpriseTable1.csv,OLD - Right Key,NEW - Left Key,left,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-LM-227-103-N.jpg,0,,,,,,,,,0,0,0,0,0,1,1,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.021478200000274,None,22.021478200000274,None,22.021478200000274,None,8,0.48705510000036156,22.021478200000274,None,,A,A,2022-08-11_02h24.05.156,face_flanker_v1,2022.1.4,60.03936180531726,
a_halfV_surpriseTable1.csv,OLD - Right Key,NEW - Left Key,left,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-WM-237-052-N.jpg,0,,,,,,,,,0,0,0,0,0,2,2,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.629355800000667,None,22.629355800000667,None,22.629355800000667,None,8,0.4173468999997567,22.629355800000667,None,,A,A,2022-08-11_02h24.05.156,face_flanker_v1,2022.1.4,60.03936180531726,
a_halfV_surpriseTable1.csv,OLD - Right Key,NEW - Left Key,left,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-LF-225-164-N.jpg,0,,,,,,,,,0,0,0,0,0,3,3,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.169123600000603,None,23.169123600000603,None,23.169123600000603,None,8,0.3288493000000017,23.169123600000603,None,,A,A,2022-08-11_02h24.05.156,face_flanker_v1,2022.1.4,60.03936180531726,
a_halfV_surpriseTable1.csv,OLD - Right Key,NEW - Left Key,left,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-BM-230-232-N.jpg,1,,,,,,,,,0,0,0,0,0,4,4,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.62414450000051,None,23.62414450000051,None,23.62414450000051,None,8,0.31371069999931933,23.62414450000051,None,,A,A,2022-08-11_02h24.05.156,face_flanker_v1,2022.1.4,60.03936180531726,
a_halfV_surpriseTable1.csv,OLD - Right Key,NEW - Left Key,left,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-IF-609-408-N.jpg,0,,,,,,,,,0,0,0,0,0,5,5,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.07150450000063,None,24.07150450000063,None,24.07150450000063,None,8,0.377113499999723,24.07150450000063,None,,A,A,2022-08-11_02h24.05.156,face_flanker_v1,2022.1.4,60.03936180531726,
a_halfV_surpriseTable1.csv,OLD - Right Key,NEW - Left Key,left,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-LM-204-001-N.jpg,1,,,,,,,,,0,0,0,0,0,6,6,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.583252500000526,None,24.583252500000526,None,24.583252500000526,None,8,0.25928190000013274,24.583252500000526,None,,A,A,2022-08-11_02h24.05.156,face_flanker_v1,2022.1.4,60.03936180531726,
a_halfV_surpriseTable1.csv,OLD - Right Key,NEW - Left Key,left,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-MM-305-003-N.jpg,0,,,,,,,,,0,0,0,0,0,7,7,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.965095000000474,None,24.965095000000474,None,24.965095000000474,None,1,0.0003751999993255595,24.965095000000474,None,,A,A,2022-08-11_02h24.05.156,face_flanker_v1,2022.1.4,60.03936180531726,
a_halfV_surpriseTable1.csv,OLD - Right Key,NEW - Left Key,left,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-MF-323-001-N.jpg,0,,,,,,,,,0,0,0,0,0,8,8,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.083732000000055,None,25.083732000000055,None,25.083732000000055,None,8,0.11558270000023185,25.083732000000055,None,,A,A,2022-08-11_02h24.05.156,face_flanker_v1,2022.1.4,60.03936180531726,
