whichSurpriseBlock,taskTextSource,surp_csv_name,surpriseFaces,new,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,task_block_loop.thisRepN,task_block_loop.thisTrialN,task_block_loop.thisN,task_block_loop.thisIndex,surprise_block_loop.thisRepN,surprise_block_loop.thisTrialN,surprise_block_loop.thisN,surprise_block_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fix.started,errorNumbers_text_2.started,textbox_2.started,errorN_key_resp_2.started,textbox_2.text,errorN_key_resp_2.keys,errorN_key_resp_2.rt,botherRate_text.started,textbox_3.started,botherRate_key_resp.started,textbox_3.text,botherRate_key_resp.keys,botherRate_key_resp.rt,instruct_surprise1.started,instruct_surp1_key_resp.keys,instruct_surp1_key_resp.rt,instructMainTask_text.started,instructMainTask_keyResp.started,instructMainTask_keyResp.keys,instructMainTask_keyResp.rt,first_surpStimuli_2.started,fStimA1.started,surprise_key_resp_2.started,firstStim_sliderA.started,surprise_key_resp_2.keys,surprise_key_resp_2.rt,firstStim_sliderA.response,firstStim_sliderA.rt,first_surpStimuli_6.started,sStimA1.started,surprise_key_resp_6.started,firstStim_sliderA_3.started,surprise_key_resp_6.keys,surprise_key_resp_6.rt,firstStim_sliderA_3.response,firstStim_sliderA_3.rt,surprise_key_resp_5.keys,firstStim_sliderA_2.response,firstStim_sliderA_2.rt,surprise_key_resp_7.keys,firstStim_sliderA_4.response,firstStim_sliderA_4.rt,surprise_key_resp.keys,firstStim_sliderB1.response,firstStim_sliderB1.rt,surprise_key_resp_9.keys,secondStim_sliderB1.response,secondStim_sliderB1.rt,surprise_key_resp_8.keys,firstStim_sliderB2.response,firstStim_sliderB2.rt,surprise_key_resp_10.keys,secondStim_sliderB2.response,secondStim_sliderB2.rt,surprise_key_resp_3.keys,firstStim_sliderC.response,firstStim_sliderC.rt,surprise_key_resp_11.keys,secondStim_sliderC1.response,secondStim_sliderC1.rt,surprise_key_resp_12.keys,firstStim_sliderC2.response,firstStim_sliderC2.rt,surprise_key_resp_13.keys,secondStim_sliderC2.response,secondStim_sliderC2.rt,surprise_key_resp_4.keys,firstStim_sliderD1.response,firstStim_sliderD1.rt,id,cb,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,15.735026385984384,16.24768742598826,16.24768742598826,16.24768742598826,,space,0.4014408499933779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,2022-08-13_10h24.31.211,mfe_flanker_v1,2022.2.2,59.25687808806353,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.682548223005142,16.682548223005142,16.682548223005142, ,space,0.2991847340017557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,2022-08-13_10h24.31.211,mfe_flanker_v1,2022.2.2,59.25687808806353,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.01102437195368,8,0.46168302500154823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,2022-08-13_10h24.31.211,mfe_flanker_v1,2022.2.2,59.25687808806353,
half_surp_table1.csv,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",csv_files/surprise_csv_files/surpriseTable_row231.csv,img/neutralC/CFD-BF-035-001-N.jpg,0,,,,,,,,,0,0,0,0,0,0,0,188,0,0,0,0,,,,,,,,,,,,,,,,,17.520288069965318,17.520288069965318,8,0.4387234009918757,18.293931680964306,18.293931680964306,18.293931680964306,18.293931680964306,8,1.4355676379636861,None,None,19.96545654296642,19.96545654296642,19.96545654296642,19.96545654296642,8,0.8956989659927785,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,A,2022-08-13_10h24.31.211,mfe_flanker_v1,2022.2.2,59.25687808806353,
half_surp_table1.csv,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",csv_files/surprise_csv_files/surpriseTable_row231.csv,,,,,,,,,,,0,0,0,0,0,0,0,188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,2022-08-13_10h24.31.211,mfe_flanker_v1,2022.2.2,59.25687808806353,
half_surp_table1.csv,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",csv_files/surprise_csv_files/surpriseTable_row159.csv,img/neutralC/CFD-LF-227-054-N.jpg,0,,,,,,,,,0,0,0,0,0,1,1,195,0,0,0,0,,,,,,,,,,,,,,,,,,,,,22.295743723982014,22.295743723982014,22.295743723982014,22.295743723982014,8,2.9950003669946454,None,None,25.43128771998454,25.43128771998454,25.43128771998454,25.43128771998454,8,2.993751667032484,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,A,2022-08-13_10h24.31.211,mfe_flanker_v1,2022.2.2,59.25687808806353,
half_surp_table1.csv,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",csv_files/surprise_csv_files/surpriseTable_row159.csv,,,,,,,,,,,0,0,0,0,0,1,1,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,2022-08-13_10h24.31.211,mfe_flanker_v1,2022.2.2,59.25687808806353,
half_surp_table1.csv,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",csv_files/surprise_csv_files/surpriseTable_row43.csv,img/neutralC/CFD-LF-232-199-N.jpg,0,,,,,,,,,0,0,0,0,0,2,2,44,0,0,0,0,,,,,,,,,,,,,,,,,,,,,29.73183764598798,29.73183764598798,29.73183764598798,29.73183764598798,8,1.2536963890306652,None,None,31.107346188975498,31.107346188975498,31.107346188975498,31.107346188975498,8,1.1894485260127112,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,A,2022-08-13_10h24.31.211,mfe_flanker_v1,2022.2.2,59.25687808806353,
half_surp_table1.csv,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",csv_files/surprise_csv_files/surpriseTable_row43.csv,,,,,,,,,,,0,0,0,0,0,2,2,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,2022-08-13_10h24.31.211,mfe_flanker_v1,2022.2.2,59.25687808806353,
half_surp_table1.csv,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",csv_files/surprise_csv_files/surpriseTable_row210.csv,img/neutralC/CFD-IF-737-104-N.jpg,0,,,,,,,,,0,0,0,0,0,3,3,185,0,0,0,0,,,,,,,,,,,,,,,,,,,,,33.39459124795394,33.39459124795394,33.39459124795394,33.39459124795394,None,,3.0,5.815631741017569,39.33032293699216,39.33032293699216,39.33032293699216,39.33032293699216,None,,3.0,2.3723991170409136,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,A,2022-08-13_10h24.31.211,mfe_flanker_v1,2022.2.2,59.25687808806353,
