whichSurpriseBlock,topQ_1,bottomQ_2,newKey,taskTextSource,surpriseFaces,new,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,task_block_loop.thisRepN,task_block_loop.thisTrialN,task_block_loop.thisN,task_block_loop.thisIndex,surprise_block_loop.thisRepN,surprise_block_loop.thisTrialN,surprise_block_loop.thisN,surprise_block_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fix.started,fix.stopped,errorNumbers_text_2.started,errorNumbers_text_2.stopped,textbox_2.text,textbox_2.started,textbox_2.stopped,errorN_key_resp_2.keys,errorN_key_resp_2.rt,errorN_key_resp_2.started,errorN_key_resp_2.stopped,botherRate_text.started,botherRate_text.stopped,textbox_3.text,textbox_3.started,textbox_3.stopped,botherRate_key_resp.keys,botherRate_key_resp.rt,botherRate_key_resp.started,botherRate_key_resp.stopped,instruct_surprise1.started,instruct_surprise1.stopped,instruct_surp1_key_resp.keys,instruct_surp1_key_resp.rt,instructMainTask_text.started,instructMainTask_text.stopped,instructMainTask_keyResp.keys,instructMainTask_keyResp.rt,instructMainTask_keyResp.started,instructMainTask_keyResp.stopped,surprise_faceStimuli.started,surprise_faceStimuli.stopped,topQ.started,topQ.stopped,bottomQ.started,bottomQ.stopped,surprise_key_resp.keys,surprise_key_resp.rt,surprise_key_resp.started,surprise_key_resp.stopped,id,cb,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,13.570620800000142,None,14.078373000000283,None, ,14.078373000000283,None,space,1.5011708000001818,14.078373000000283,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A,2022-08-11_02h36.50.057,mfe_flanker_v1,2022.1.4,60.117469535435376,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.612399300000106,None,,15.612399300000106,None,space,0.3717759000010119,15.612399300000106,None,,,,,,,,,,,,,,,,,,,,,,A,2022-08-11_02h36.50.057,mfe_flanker_v1,2022.1.4,60.117469535435376,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.006310300000223,None,8,0.47279920000073616,,,,,,,,,,,,,,,,,,A,2022-08-11_02h36.50.057,mfe_flanker_v1,2022.1.4,60.117469535435376,
a_halfV_surpriseTable1.csv,Old or New?,Approving or Disapproving?,left,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-WM-210-057-N.jpg,0,,,,,,,,,0,0,0,0,0,0,0,87,,,,,,,,,,,,,,,,,,,,,,,,,16.57255939999959,None,8,0.44263370000044233,16.57255939999959,None,17.40461950000008,None,17.40461950000008,None,None,None,8,2.411579999999958,17.40461950000008,None,,A,2022-08-11_02h36.50.057,mfe_flanker_v1,2022.1.4,60.117469535435376,
a_halfV_surpriseTable1.csv,Old or New?,Approving or Disapproving?,left,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-LM-238-129-N.jpg,0,,,,,,,,,0,0,0,0,0,1,1,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.122626800000035,None,20.122626800000035,None,None,None,8,0.15614060000007157,20.122626800000035,None,,A,2022-08-11_02h36.50.057,mfe_flanker_v1,2022.1.4,60.117469535435376,
a_halfV_surpriseTable1.csv,Old or New?,Approving or Disapproving?,left,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-LF-209-072-N.jpg,0,,,,,,,,,0,0,0,0,0,2,2,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.544351699999424,None,20.544351699999424,None,None,None,8,0.6124763000007079,20.544351699999424,None,,A,2022-08-11_02h36.50.057,mfe_flanker_v1,2022.1.4,60.117469535435376,
a_halfV_surpriseTable1.csv,Old or New?,Approving or Disapproving?,left,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-WM-234-118-N.jpg,0,,,,,,,,,0,0,0,0,0,3,3,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.45648540000002,None,21.45648540000002,None,None,None,8,0.4584394000003158,21.45648540000002,None,,A,2022-08-11_02h36.50.057,mfe_flanker_v1,2022.1.4,60.117469535435376,
a_halfV_surpriseTable1.csv,Old or New?,Approving or Disapproving?,left,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-IM-687-511-N.jpg,0,,,,,,,,,0,0,0,0,0,4,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.075564900000245,None,22.075564900000245,None,None,None,8,0.09749590000046737,22.075564900000245,None,,A,2022-08-11_02h36.50.057,mfe_flanker_v1,2022.1.4,60.117469535435376,
a_halfV_surpriseTable1.csv,Old or New?,Approving or Disapproving?,left,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-WF-230-158-N.jpg,0,,,,,,,,,0,0,0,0,0,5,5,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.515694099999564,None,22.515694099999564,None,None,None,8,0.3056002000002991,22.515694099999564,None,,A,2022-08-11_02h36.50.057,mfe_flanker_v1,2022.1.4,60.117469535435376,
a_halfV_surpriseTable1.csv,Old or New?,Approving or Disapproving?,left,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-LM-207-004-N.jpg,1,,,,,,,,,0,0,0,0,0,6,6,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.99687670000003,None,22.99687670000003,None,None,None,8,0.10013210000033723,22.99687670000003,None,,A,2022-08-11_02h36.50.057,mfe_flanker_v1,2022.1.4,60.117469535435376,
